,New Trolley Inventory?,Variance Rank by Destination,Variance,Avg Price per Product,Date,Product,first_name,last_name,email,Price,Destination
6140,True,4,35.93988636363636,22.000113636363636,2021-07-31,Pastry,Elwyn,Durdy,edurdy3w@mozilla.org,57.94,New York  
6202,True,2,38.3562,19.9738,2021-07-15,Cake,Dione,Morales,dmorales5m@posterous.com,58.33,London
6223,True,5,34.734739884393065,23.845260115606933,2021-07-05,Wine,Haily,Raffles,hraffles67@guardian.co.uk,58.58,New York  
6265,True,3,36.098270676691726,22.301729323308273,2021-07-27,Juice,Ingaborg,Neachell,ineachell7d@cnbc.com,58.4,New York  
6409,True,2,37.673571428571435,20.59642857142857,2021-07-14,Grapes,Gualterio,Barks,gbarksbd@angelfire.com,58.27,Perth
6943,True,3,37.34155172413793,21.798448275862068,2021-07-12,Island Oasis,Damiano,Mouan,dmouanq7@woothemes.com,59.14,New York
7093,True,5,34.648805970149255,22.541194029850747,2021-08-03,Beer,Martyn,Dace,mdace2l@soup.io,57.19,Edinburgh
7172,True,4,38.06142857142858,16.748571428571427,2021-08-26,Macaroons,Janeva,Loxston,jloxston4s@hubpages.com,54.81,London
7395,True,3,38.10272727272728,21.537272727272725,2021-08-17,Spinach,Magnum,Ainslee,mainsleeaz@springer.com,59.64,London
7972,True,5,35.92847972972973,23.361520270270272,2021-08-23,Cheese,Veronika,Fitzsymonds,vfitzsymondsr0@hud.gov,59.29,Perth
8019,True,3,35.46473988439307,23.845260115606933,2021-09-18,Wine,Gunther,Stowell,gstowellj@histats.com,59.31,Edinburgh
8151,True,2,36.83133333333333,20.228666666666665,2021-09-22,Container,Crissie,Hariot,chariot47@squidoo.com,57.06,New York  
8178,True,4,36.34275862068965,23.517241379310345,2021-09-26,Tart Shells,Vite,Airdrie,vairdrie4y@netvibes.com,59.86,Paris
8183,True,1,37.65516129032258,21.81483870967742,2021-09-30,Milk,Kylynn,Goudge,kgoudge53@howstuffworks.com,59.47,Edinburgh
8215,True,1,37.075319148936174,22.67468085106383,2021-09-25,Longos,Corry,Dalli,cdalli5z@gizmodo.com,59.75,Paris
8293,True,4,36.73045283018868,23.12954716981132,2021-09-03,Bread,Taylor,Clelle,tclelle85@unc.edu,59.86,New York
8294,True,2,36.93988636363636,22.000113636363636,2021-09-20,Pastry,Othello,Dudson,odudson86@addthis.com,58.94,Paris
8350,True,4,35.94988636363637,22.000113636363636,2021-09-03,Pastry,Willow,Chapelle,wchapelle9q@deviantart.com,57.95,Perth
8650,True,2,37.84910447761194,21.98089552238806,2021-09-17,Tea,Zarah,Tyce,ztycei2@senate.gov,59.83,New York
8695,True,1,40.292,17.967999999999996,2021-09-10,Beef Ground Medium,Putnam,Fontin,pfontinjb@salon.com,58.26,London
8719,True,4,34.804739884393065,23.845260115606933,2021-09-09,Wine,Lyn,Rubinowitz,lrubinowitzjz@usa.gov,58.65,Edinburgh
8794,True,3,36.87,21.910000000000004,2021-09-09,Swiss Chard,Marleah,Phillippo,mphillippom2@creativecommons.org,58.78,Paris
8871,True,5,36.46317647058824,23.216823529411766,2021-09-27,Chicken,Gav,Shade,gshadeo7@uiuc.edu,59.68,New York
9068,True,1,42.807500000000005,16.5025,2021-10-25,Chicken Thigh,Izaak,Pasmore,ipasmore1w@ehow.com,59.31,New York
9245,True,1,38.32666666666667,21.093333333333334,2021-10-18,Chevril,Luther,Maiklem,lmaiklem6t@nature.com,59.42,Perth
9496,True,2,36.35214285714285,18.227857142857143,2021-10-23,Puree,Cornelius,Horney,chorneyds@seattletimes.com,54.58,Edinburgh
9639,True,1,37.33988636363637,22.000113636363636,2021-10-10,Pastry,Yvor,Smerdon,ysmerdonhr@imgur.com,59.34,New York  
9642,True,5,36.32555555555555,21.844444444444445,2021-10-06,Appetizer,Millisent,Patria,mpatriahu@howstuffworks.com,58.17,Paris
9662,True,5,37.108000000000004,18.871999999999996,2021-10-05,Alize Gold Passion,Gray,Battrum,gbattrumie@java.com,55.98,London
9978,True,3,36.820452830188685,23.12954716981132,2021-10-03,Bread,Jacquenetta,Norres,jnorresr6@geocities.jp,59.95,Perth
