,Training,Contact Email,Contact Name,Client,Client ID,Account Manager,From Date,Recent Account Manager
0,Prep 101 - 2020-10-01,abagael.matresse@brauninc.com,Abagael Matresse,Braun Inc,1200,Xiaoxuan Ma,2019-12-31,Xiaoxuan Ma
1,Prep 101 - 2020-10-01,amory.sinnatt@brauninc.com,Amory Sinnatt,Braun Inc,1200,Xiaoxuan Ma,2019-12-31,Xiaoxuan Ma
2,Prep 101 - 2020-10-01,matilde.lovekin@brauninc.com,Matilde Lovekin,Braun Inc,1200,Xiaoxuan Ma,2019-12-31,Xiaoxuan Ma
3,Prep 102 - 2020-09-10,abagael.matresse@brauninc.com,Abagael Matresse,Braun Inc,1200,Xiaoxuan Ma,2019-12-31,Xiaoxuan Ma
4,Prep 102 - 2020-09-10,amory.sinnatt@brauninc.com,Amory Sinnatt,Braun Inc,1200,Xiaoxuan Ma,2019-12-31,Xiaoxuan Ma
5,Prep 102 - 2020-09-10,matilde.lovekin@brauninc.com,Matilde Lovekin,Braun Inc,1200,Xiaoxuan Ma,2019-12-31,Xiaoxuan Ma
6,Prep 103 - 2020-10-08,abagael.matresse@brauninc.com,Abagael Matresse,Braun Inc,1200,Xiaoxuan Ma,2019-12-31,Xiaoxuan Ma
7,Prep 103 - 2020-10-08,amory.sinnatt@brauninc.com,Amory Sinnatt,Braun Inc,1200,Xiaoxuan Ma,2019-12-31,Xiaoxuan Ma
8,Prep 103 - 2020-10-08,matilde.lovekin@brauninc.com,Matilde Lovekin,Braun Inc,1200,Xiaoxuan Ma,2019-12-31,Xiaoxuan Ma
9,Tableau 101 - 2020-09-10,abagael.matresse@brauninc.com,Abagael Matresse,Braun Inc,1200,Xiaoxuan Ma,2019-12-31,Xiaoxuan Ma
10,Tableau 101 - 2020-09-10,amory.sinnatt@brauninc.com,Amory Sinnatt,Braun Inc,1200,Xiaoxuan Ma,2019-12-31,Xiaoxuan Ma
11,Tableau 101 - 2020-09-10,matilde.lovekin@brauninc.com,Matilde Lovekin,Braun Inc,1200,Xiaoxuan Ma,2019-12-31,Xiaoxuan Ma
12,Tableau 102 - 2020-11-12,abagael.matresse@brauninc.com,Abagael Matresse,Braun Inc,1200,Xiaoxuan Ma,2019-12-31,Xiaoxuan Ma
13,Tableau 102 - 2020-11-12,amory.sinnatt@brauninc.com,Amory Sinnatt,Braun Inc,1200,Xiaoxuan Ma,2019-12-31,Xiaoxuan Ma
14,Tableau 102 - 2020-11-12,matilde.lovekin@brauninc.com,Matilde Lovekin,Braun Inc,1200,Xiaoxuan Ma,2019-12-31,Xiaoxuan Ma
15,Tableau 103 - 2020-09-10,abagael.matresse@brauninc.com,Abagael Matresse,Braun Inc,1200,Xiaoxuan Ma,2019-12-31,Xiaoxuan Ma
16,Tableau 103 - 2020-10-01,amory.sinnatt@brauninc.com,Amory Sinnatt,Braun Inc,1200,Xiaoxuan Ma,2019-12-31,Xiaoxuan Ma
17,Tableau 103 - 2020-10-01,matilde.lovekin@brauninc.com,Matilde Lovekin,Braun Inc,1200,Xiaoxuan Ma,2019-12-31,Xiaoxuan Ma
18,Tableau 104 - 2020-09-17,abagael.matresse@brauninc.com,Abagael Matresse,Braun Inc,1200,Xiaoxuan Ma,2019-12-31,Xiaoxuan Ma
19,Tableau 104 - 2020-10-08,amory.sinnatt@brauninc.com,Amory Sinnatt,Braun Inc,1200,Xiaoxuan Ma,2019-12-31,Xiaoxuan Ma
