,id,first_name,last_name,gender,age,track_event,time,Gender ,Age ,Event ,Benchmark,Rank
5,83,Kevon,Hannum,M,10,200m,25.05,M,10,200m,29.0,1
189,127,Gradey,Slevin,M,9,100m,14.31,M,9,100m,14.5,1
79,6,Ganny,Blouet,M,8,100m,14.31,M,8,100m,15.0,1
109,262,Parker,Texton,M,8,200m,25.51,M,8,200m,31.0,2
134,236,Celeste,Kendred,F,8,100m,14.43,F,8,100m,16.0,3
269,100,Brodie,Terris,M,9,200m,25.81,M,9,200m,30.0,3
100,99,Ogden,Scammonden,M,8,200m,25.92,M,8,200m,31.0,4
110,263,Randall,Valentinetti,M,8,200m,26.02,M,8,200m,31.0,5
148,131,Silvia,Viggers,F,10,200m,26.13,F,10,200m,30.0,6
139,14,Arliene,Bonsul,F,10,200m,26.64,F,10,200m,30.0,7
64,5,Linzy,Barock,F,11,200m,27.0,F,11,200m,29.0,8
108,255,Ira,Gabbatt,M,8,200m,27.06,M,8,200m,31.0,9
166,148,Matilde,Andersch,F,9,200m,27.12,F,9,200m,31.0,10
69,82,Sherie,Cluatt,F,11,200m,27.56,F,11,200m,29.0,11
51,157,Zena,Duckers,F,8,200m,27.79,F,8,200m,32.0,12
77,207,Danila,Spiniello,F,11,200m,27.85,F,11,200m,29.0,13
70,104,Faun,Gebhard,F,11,200m,27.87,F,11,200m,29.0,14
151,185,Sheree,Wedgwood,F,10,200m,27.99,F,10,200m,30.0,15
75,144,Angy,Wyeth,F,11,200m,28.01,F,11,200m,29.0,16
153,195,Darcey,Cordon,F,10,200m,28.04,F,10,200m,30.0,17
55,184,Bobina,Simoncelli,F,8,200m,28.33,F,8,200m,32.0,18
56,202,Kelsey,Fearnsides,F,8,200m,28.57,F,8,200m,32.0,19
61,282,Maggie,Potteridge,F,8,200m,28.6,F,8,200m,32.0,20
156,254,Carri,Skellern,F,10,200m,28.78,F,10,200m,30.0,21
72,113,Gipsy,O'Regan,F,11,200m,28.86,F,11,200m,29.0,22
159,287,Jessie,Lindborg,F,10,200m,29.2,F,10,200m,30.0,23
286,269,Barbabas,Horick,M,9,200m,29.65,M,9,200m,30.0,24
162,49,Garland,Pimbley,F,9,200m,29.71,F,9,200m,31.0,25
97,60,Rowney,Tidbold,M,8,200m,29.89,M,8,200m,31.0,26
96,55,Brnaba,Fatkin,M,8,200m,30.37,M,8,200m,31.0,27
63,286,Bessy,Dand,F,8,200m,30.74,F,8,200m,32.0,28
